sentence1,sentence2,label
莫妮卡·贝鲁奇的代表作,贝鲁奇_（足球明星——克拉迪奥·贝鲁奇）的出生地的车牌代码,0
莫妮卡·贝鲁奇的代表作,贝鲁奇_（足球明星——克拉迪奥·贝鲁奇）的国籍的官网,0
莫妮卡·贝鲁奇的代表作,贝鲁奇_（足球明星——克拉迪奥·贝鲁奇）的出生地的面积,0
莫妮卡·贝鲁奇的代表作,莫妮卡·贝鲁奇的代表作品,1
《湖上草》是谁的诗,诗经的喜欢的东西的配音,0
《湖上草》是谁的诗,湖上草的其丈夫,0
《湖上草》是谁的诗,湖上草的主要作品,1
《湖上草》是谁的诗,诗经的填词,0
龙卷风的英文名是什么,龙卷风_（一种自然天气现象）的绰号的主要荣誉,0
龙卷风的英文名是什么,龙卷风_（一种自然天气现象）的绰号,0
龙卷风的英文名是什么,龙卷风_（一种自然天气现象）的徒弟的外文名,0
龙卷风的英文名是什么,龙卷风_（一种自然天气现象）的外文名,1
新加坡的水域率是多少,新加坡的居住地的学历,0
新加坡的水域率是多少,新加坡的所属地区的学校属性,0
新加坡的水域率是多少,新加坡的所属国家的吉祥物,0
新加坡的水域率是多少,新加坡的水域率,1
商朝在哪场战役中走向覆灭,在哪的软件语言的中文名,0
商朝在哪场战役中走向覆灭,战役的游戏标签的游戏大小,0
商朝在哪场战役中走向覆灭,在哪的软件语言,0
商朝在哪场战役中走向覆灭,商朝的灭亡,1
叔本华信仰什么宗教,亚瑟·叔本华的代表,0
叔本华信仰什么宗教,亚瑟·叔本华的国籍的国歌,0
叔本华信仰什么宗教,亚瑟·叔本华的信仰的部分分布区域,0
叔本华信仰什么宗教,亚瑟·叔本华的信仰,1
大兴安岭的终点是哪里,大兴安岭的源头,0
大兴安岭的终点是哪里,大兴安岭的地点,0
大兴安岭的终点是哪里,大兴安岭的宽度,0
大兴安岭的终点是哪里,大兴安岭的终点,1
演员梅艳芳有多高,梅艳芳的主演的票房,0
演员梅艳芳有多高,梅艳芳的饰演,0
演员梅艳芳有多高,梅艳芳的主演的監制,0
演员梅艳芳有多高,梅艳芳的身高,1
被誉为万岛之国的是哪个国家,岛之国的小说进度的释义,0
被誉为万岛之国的是哪个国家,岛之国的中文名,0
被誉为万岛之国的是哪个国家,岛之国的小说进度的外文名,0
被誉为万岛之国的是哪个国家,"""万岛之国""的誉称",1
北京奥运会的口号是什么,商业体育的举办地点的火车站,0
北京奥运会的口号是什么,口号_（词语）的类型的地方,0
北京奥运会的口号是什么,2008年北京奥运会的赛事类型的英文名称,0
北京奥运会的口号是什么,2008年北京奥运会 的口号,1
新加坡的政治元老是谁,新加坡的居住地的学历,0
新加坡的政治元老是谁,新加坡的国家的荣获,0
新加坡的政治元老是谁,新加坡的国外分布的亚门,0
新加坡的政治元老是谁,新加坡的政治元老,1
叶文洁毕业于哪个大学,大学_（文献古籍曾子《大学》）的毕业院校的外文名,0
叶文洁毕业于哪个大学,叶文洁的毕业院校的学校地址,0
叶文洁毕业于哪个大学,大学_（文献古籍曾子《大学》）的毕业于的中文名,0
叶文洁毕业于哪个大学,叶文洁的毕业院校,1
"""两弹一星""指的是什么",两弹一星的颁发者的入党时间,0
"""两弹一星""指的是什么",两弹一星的原子弹,0
"""两弹一星""指的是什么",两弹一星的代表作品,0
"""两弹一星""指的是什么",两弹一星的原指,1
"""超级碗""是什么体育项目联赛的年度冠军赛",超级碗的出处的人物,0
"""超级碗""是什么体育项目联赛的年度冠军赛",超级碗的性质的外文名,0
"""超级碗""是什么体育项目联赛的年度冠军赛",超级碗的介绍,1
"""超级碗""是什么体育项目联赛的年度冠军赛",NFL年终总决赛的外文名,0
诗经的内容分为哪三个部分,诗经的示例的中文名,0
诗经的内容分为哪三个部分,三个的乐章的发行时间,0
诗经的内容分为哪三个部分,诗经的收录作品的文学体裁,0
诗经的内容分为哪三个部分,诗经的内容分类,1
悉尼有哪些大学,大学_（高等教育机构）的学校类型,0
悉尼有哪些大学,大学_（高等教育机构）的隶属,0
悉尼有哪些大学,大学_（高等教育机构）的学区,0
悉尼有哪些大学,悉尼_（澳大利亚新南威尔士州首府）的高等学府,1
凯文·杜兰特得过哪些奖,奖的总笔画,0
凯文·杜兰特得过哪些奖,得过的中文名,0
凯文·杜兰特得过哪些奖,得过的注音,0
凯文·杜兰特得过哪些奖,凯文·杜兰特的主要奖项,1
大连理工大学校歌是,大连理工大学校歌的校歌的简称,0
大连理工大学校歌是,大连理工大学校歌的校歌的中文名,0
大连理工大学校歌是,大连理工大学校歌的校歌的博士后流动站,0
大连理工大学校歌是,大连理工大学的校歌,1
清朝词人纳兰性德是哪个民族的人,纳兰性德的别称的民族族群,0
清朝词人纳兰性德是哪个民族的人,纳兰性德的作者的词体,0
清朝词人纳兰性德是哪个民族的人,纳兰性德的创作人,0
清朝词人纳兰性德是哪个民族的人,纳兰性德的民族族群,1
戊戌变法中创建了什么报纸,戊戌变法的背景,0
戊戌变法中创建了什么报纸,戊戌变法的时期的中文名,0
戊戌变法中创建了什么报纸,戊戌变法的序幕,0
戊戌变法中创建了什么报纸,戊戌变法的创办报纸,1
东南大学的现任校长是谁,东南大学的简称的校训,0
东南大学的现任校长是谁,东南大学的知名校友,0
东南大学的现任校长是谁,东南大学的主管部门的现任院长,0
东南大学的现任校长是谁,东南大学的现任校长,1
华山派的开山鼻祖是谁,开山鼻祖的拼音,0
华山派的开山鼻祖是谁,华山派_（武侠小说中门派）的派别的出处,0
华山派的开山鼻祖是谁,华山派_（道教支派）的开派祖师,1
华山派的开山鼻祖是谁,华山派_（武侠小说中门派）的门派的国籍,0
品牌DQ主要卖什么食品,食品的应用范围的软件名称,0
品牌DQ主要卖什么食品,食品的用途的生产能力,0
品牌DQ主要卖什么食品,品牌的方向的责任,0
品牌DQ主要卖什么食品,DQ_（DQ冰淇淋）的经营范围,1
朱瞻基在位时的年号是什么,朱瞻基的父亲,0
朱瞻基在位时的年号是什么,朱瞻基的庙号的举例,0
朱瞻基在位时的年号是什么,朱瞻基的陵寝的直径,0
朱瞻基在位时的年号是什么,朱瞻基的年号,1
豌豆公主这个形象出自于哪,豌豆公主_（安徒生童话）的作品名称,0
豌豆公主这个形象出自于哪,豌豆公主_（安徒生童话）的作者,0
豌豆公主这个形象出自于哪,豌豆公主_（安徒生童话）的作者的出生日期,0
豌豆公主这个形象出自于哪,豌豆公主_（安徒生童话）的作品出处,1
